20220818T180153 32354.226 32354.538 0.007800000000042928 14 0.010000 40dB 127 100ms 1660835209.65 65209.65 32354.383 0.078899 1.18442 -1
20220818T181128 32354.541 32354.225 -0.0079000000000633 14 0.010000 40dB 127 100ms 1660835778.36 65778.36 32354.386 0.077442 1.18411 -1
20220818T182103 32354.231 32354.541 0.007750000000032742 14 0.010000 40dB 127 100ms 1660836358.41 66358.41 32354.386 0.077722 1.18381 -1
20220818T183039 32354.541 32354.230 -0.007775000000037835 14 0.010000 40dB 127 100ms 1660836938.42 66938.42 32354.383 0.078202 1.18161 -1
20220818T184014 32354.227 32354.539 0.007800000000042928 14 0.010000 40dB 127 100ms 1660837508.69 67508.69 32354.383 0.077197 1.18389 -1
20220818T184950 32354.537 32354.228 -0.007725000000027649 14 0.010000 40dB 127 100ms 1660838085.89 68085.89 32354.382 0.078047 1.18365 -1
20220818T185925 32354.226 32354.538 0.007800000000042928 14 0.010000 40dB 127 100ms 1660838661.14 68661.14 32354.383 0.077129 1.1846 -1
20220818T190900 32354.537 32354.228 -0.007725000000027649 14 0.010000 40dB 127 100ms 1660839233.65 69233.65 32354.384 0.07723 1.1807 -1
20220818T191836 32354.229 32354.538 0.007725000000027649 14 0.010000 40dB 127 100ms 1660839811.52 69811.52 32354.384 0.077348 1.19272 -1
20220818T192811 32354.539 32354.229 -0.007750000000032742 14 0.010000 40dB 127 100ms 1660840386.58 70386.58 32354.384 0.076866 1.19273 -1
20220818T193747 32354.230 32354.538 0.007700000000022555 14 0.010000 40dB 127 100ms 1660840961.80 70961.80 32354.384 0.076757 1.19109 -1
20220818T194722 32354.538 32354.231 -0.007675000000017462 14 0.010000 40dB 127 100ms 1660841537.14 71537.14 32354.385 0.076979 1.18762 -1
20220818T195657 32354.231 32354.538 0.007675000000017462 14 0.010000 40dB 127 100ms 1660842113.53 72113.53 32354.385 0.077159 1.19225 -1
20220818T200633 32354.539 32354.231 -0.007700000000022555 14 0.010000 40dB 127 100ms 1660842687.27 72687.27 32354.385 0.076534 1.19168 -1
20220818T201608 32354.232 32354.538 0.007650000000012369 14 0.010000 40dB 127 100ms 1660843264.72 73264.72 32354.386 0.076262 1.1929 -1
